condition,tick,source,cell_type,transmitter_sign,target,forecast,source_spike,source_sensory_input,source_observed_current,arrival_count,signed_recurrent_current,retained_eligibility,weight_update_proposal
initial,287,20655,L2,1.0,0.0,-0.019673723727464676,False,0.0,-16.22597885131836,0,0.0016713828081265092,0.48967158794403076,0.0
initial,287,26550,L1,-1.0,0.0,-0.019673723727464676,False,0.0,-16.22597885131836,0,-0.006247955374419689,-0.48967158794403076,0.0
initial,288,20655,L2,1.0,0.0,-0.019673723727464676,False,0.0,-15.402505874633789,0,0.0013570564333349466,0.48967158794403076,9.633663285057992e-05
initial,288,26550,L1,-1.0,0.0,-0.019673723727464676,False,0.0,-15.402505874633789,0,-0.00507294200360775,-0.48967158794403076,-9.633663285057992e-05
initial,289,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-14.620824813842773,0,0.001101843430660665,0.09248699992895126,0.0
initial,289,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-14.620824813842773,0,-0.004118905868381262,-0.09248699992895126,0.0
initial,290,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-13.878813743591309,0,0.0008946267189458013,0.09248699992895126,0.0
initial,290,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-13.878813743591309,0,-0.0033442892599850893,-0.09248699992895126,0.0
initial,291,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-13.174460411071777,0,0.0007263799197971821,0.09248699992895126,0.0
initial,291,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-13.174460411071777,0,-0.0027153498958796263,-0.09248699992895126,0.0
initial,292,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-12.505853652954102,0,0.0005897742230445147,0.09248699992895126,0.0
initial,292,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-12.505853652954102,0,-0.002204691292718053,-0.09248699992895126,0.0
initial,293,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-11.87117862701416,0,0.0004788591177202761,0.09248699992895126,0.0
initial,293,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-11.87117862701416,0,-0.0017900689272210002,-0.09248699992895126,0.0
initial,294,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-11.268712997436523,0,0.00038880310603417456,0.09248699992895126,0.0
initial,294,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-11.268712997436523,0,-0.0014534220099449158,-0.09248699992895126,0.0
initial,295,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-10.696823120117188,0,0.0003156833699904382,0.09248699992895126,0.0
initial,295,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-10.696823120117188,0,-0.001180086168460548,-0.09248699992895126,0.0
initial,296,20655,L2,1.0,0.0,-0.003715885104611516,False,0.0,-10.153956413269043,0,0.00025631478638388216,0.09248699992895126,3.4367105854471447e-06
initial,296,26550,L1,-1.0,0.0,-0.003715885104611516,False,0.0,-10.153956413269043,0,-0.0009581547928974032,-0.09248699992895126,-3.4367105854471447e-06
initial,297,20655,L2,1.0,0.0,-0.0007018398027867079,False,0.0,-9.638640403747559,0,0.00020811129070352763,0.017468532547354698,0.0
